date,revenue
2026-02-11,41636.89
2026-02-12,41598.92
2026-02-13,41789.02
2026-02-14,37562.67
2026-02-15,35496.41
2026-02-16,38385.95
2026-02-17,43051.63
2026-02-18,41567.38
2026-02-19,41729.62
2026-02-20,42609.22
2026-02-21,36587.77
2026-02-22,38986.3
2026-02-23,44091.27
2026-02-24,42736.49
2026-02-25,40607.72
2026-02-26,39936.09
2026-02-27,43189.06
2026-02-28,39556.48
2026-03-01,36342.05
2026-03-02,42392.82
2026-03-03,44062.41
2026-03-04,39007.96
2026-03-05,41968.63
2026-03-06,44064.4
2026-03-07,38659.0
2026-03-08,35824.73
2026-03-09,43879.59
2026-03-10,43584.57
2026-03-11,44997.46
2026-03-12,40141.88
2026-03-13,44517.79
2026-03-14,32707.06
2026-03-15,29873.68
2026-03-16,41583.58
2026-03-17,40816.77
2026-03-18,45496.94
2026-03-19,44984.17
2026-03-20,40128.21
2026-03-21,39033.47
2026-03-22,34252.62
2026-03-23,43175.42
2026-03-24,42669.07
2026-03-25,43768.43
2026-03-26,45641.89
2026-03-27,45207.79
2026-03-28,37953.52
2026-03-29,38769.15
2026-03-30,44898.03
2026-03-31,42036.8
2026-04-01,41833.41
2026-04-02,42516.33
2026-04-03,45096.78
2026-04-04,36589.4
2026-04-05,43422.82
2026-04-06,41732.48
2026-04-07,41028.92
2026-04-08,45986.93
2026-04-09,47748.26
2026-04-10,45365.94
2026-04-11,39665.07
2026-04-12,41259.11
2026-04-13,43886.01
2026-04-14,40398.87
2026-04-15,42793.77
2026-04-16,46769.37
2026-04-17,40439.87
2026-04-18,37752.65
2026-04-19,38367.04
2026-04-20,43539.64
2026-04-21,46343.41
2026-04-22,45998.94
2026-04-23,50681.07
2026-04-24,46176.06
2026-04-25,36242.63
2026-04-26,36398.47
2026-04-27,42398.44
2026-04-28,47211.71
2026-04-29,43174.92
2026-04-30,44541.43
2026-05-01,46777.55
2026-05-02,36135.33
2026-05-03,37319.78
2026-05-04,39912.89
2026-05-05,41988.48
2026-05-06,43409.16
2026-05-07,46096.93
2026-05-08,48233.15
2026-05-09,38238.34
2026-05-10,39024.94
2026-05-11,45569.68
2026-05-12,48088.56
2026-05-13,47606.98
2026-05-14,45962.58
2026-05-15,42509.98
2026-05-16,40951.36
2026-05-17,39562.51
2026-05-18,48699.24
2026-05-19,45313.54
2026-05-20,50753.76
2026-05-21,44486.02
2026-05-22,49849.05
2026-05-23,39019.27
2026-05-24,37322.92
2026-05-25,42517.23
2026-05-26,45226.42
2026-05-27,49575.61
2026-05-28,47948.99
2026-05-29,47635.78
2026-05-30,32386.95
2026-05-31,40897.12
2026-06-01,47379.15
2026-06-02,44371.0
2026-06-03,44191.43
2026-06-04,45948.63
2026-06-05,50749.62
2026-06-06,36207.59
2026-06-07,37968.72
2026-06-08,49861.29
2026-06-09,44895.14
2026-06-10,45156.06
2026-06-11,46471.04
2026-06-12,42791.54
2026-06-13,39940.11
2026-06-14,35998.57
2026-06-15,48801.21
2026-06-16,46383.85
2026-06-17,52768.44
2026-06-18,47227.62
2026-06-19,50288.63
2026-06-20,35900.47
2026-06-21,39226.36
2026-06-22,47488.22
2026-06-23,51503.13
2026-06-24,41949.61
2026-06-25,49465.12
2026-06-26,48382.86
2026-06-27,44048.52
2026-06-28,41775.91
2026-06-29,46976.31
2026-06-30,45398.17
2026-07-01,43387.62
2026-07-02,47485.33
2026-07-03,46429.76
2026-07-04,45652.01
2026-07-05,38259.44
2026-07-06,47979.95
2026-07-07,42675.06
2026-07-08,46026.36
2026-07-09,47919.26
2026-07-10,49549.2
2026-07-11,44267.87
2026-07-12,40067.0
2026-07-13,44147.92
2026-07-14,48655.89
2026-07-15,48860.0
2026-07-16,48824.01
2026-07-17,45465.86
2026-07-18,43600.56
2026-07-19,40651.16
2026-07-20,49562.23
2026-07-21,51238.75
2026-07-22,49376.36
2026-07-23,48489.49
2026-07-24,53866.95
2026-07-25,41277.06
2026-07-26,39760.37
2026-07-27,48131.19
2026-07-28,52101.58
2026-07-29,48221.04
2026-07-30,49408.16
2026-07-31,51390.12
2026-08-01,39310.68
2026-08-02,35842.41
2026-08-03,48918.33
2026-08-04,48752.88
2026-08-05,46369.37
2026-08-06,50677.09
2026-08-07,49951.9
2026-08-08,38116.19
2026-08-09,42525.96
2026-08-10,47731.69
2026-08-11,44034.08
2026-08-12,49684.55
2026-08-13,48273.68
2026-08-14,46273.91
2026-08-15,42724.74
2026-08-16,42654.14
2026-08-17,46862.81
2026-08-18,49746.95
2026-08-19,51575.84
2026-08-20,46569.73
2026-08-21,49797.62
2026-08-22,41420.06
2026-08-23,48070.51
2026-08-24,43338.29
2026-08-25,50861.83
2026-08-26,47962.21
2026-08-27,48601.05
2026-08-28,54512.68
2026-08-29,41595.06
